Project;Release;Commit;NS;ND;NF;Entropy;Size;LA;LD;LT;FIX;NDEV;AGE;NUC;EXP;REXP;SEXP;Actual_Defective
TIKA;2;424c708540755608f592cadb2001fbe54ff28521;9;0;9;0.0;2146;2077;69;69;NO;6;0;906;151;144.5;151;NO
TIKA;2;d1ab05c8e4a9f192c0bcec5538af557659393e66;3;0;3;0.0;286;172;114;114;NO;6;0;900;150;143.5;150;YES
TIKA;2;e12b04d4cbe43e6bdfc09cc917e44ff060498f08;1;0;1;0.0;69;69;0;0;NO;6;0;894;149;142.5;149;NO
TIKA;2;39ab46ae8e17fba317f27ab5b18167f69b2e6996;1;0;1;0.0;2;2;0;112;NO;6;0;888;148;141.5;148;NO
TIKA;2;9b506beebeb582e643e24a842c3729e212dc5091;3;0;3;1.4488156357251847;30;16;0;111;NO;6;124;882;147;140.5;147;NO
TIKA;2;70ca6cee9ec87b9fa596ecba2ce0035c204a34a2;1;0;1;0.0;53;27;0;84;NO;6;0;876;146;139.5;146;NO
TIKA;2;28c13697bc5e882e984ef80683a4cafe47a0aecd;1;0;1;0.0;27;7;0;77;NO;6;0;870;145;138.5;145;NO
TIKA;2;eb799732c835bfbdc183e6650d07231fe8b6d7af;2;0;2;0.0;95;87;0;203;NO;6;28;864;144;137.5;144;NO
TIKA;2;c9f08c28599ca08fa5aad06aed41f6da5de4737c;1;0;1;0.0;147;147;0;0;NO;6;0;858;143;138.5;143;NO
TIKA;2;73603f4b32ecd55aeccfb4e6549f4640042b5288;2;0;2;0.0;63;63;0;195;NO;6;71;852;142;137.5;142;NO
TIKA;2;91d107748f031f88a4d8e25075509e2455491fbc;1;0;1;0.0;26;0;0;397;NO;6;97;846;141;136.5;141;YES
TIKA;2;284f644f18f890d65cccc3f242bfefb21738b497;2;0;2;0.0;288;288;0;0;NO;6;0;792;132;127.5;132;YES
TIKA;2;7c83be9c00d203e22c8d042a802f719fa3297195;2;0;2;0.0;133;133;0;0;NO;6;0;780;130;125.5;130;YES
TIKA;2;a5c897e47dddce52877955549517948051126e10;3;0;3;0.0;350;350;0;0;NO;6;0;774;129;124.5;129;YES
TIKA;2;25150e0c66b5d2caf11370818a037180485dd8a7;3;0;3;0.35335933502142136;159;123;6;170;NO;6;38;768;128;123.5;128;YES
TIKA;2;64e1e5180b49b78fa4559b3d88503e6d9825483c;18;0;18;3.111168973798174;565;136;285;276;NO;6;78;756;126;121.5;126;YES
TIKA;2;315b7e11db1f5002749ede87babab0e6a3e825ab;1;0;1;0.0;46;34;0;142;NO;6;20;750;125;120.5;125;NO
TIKA;2;ddfe1a576cbdbc1176e7fef2606233e0a5b18c5a;1;0;1;0.0;6;0;0;143;NO;6;0;738;123;122.0;123;NO
TIKA;2;4228d3779dedf42aa3574688cfd68a1d4c5e6e51;1;0;1;0.0;5;3;0;140;NO;6;145;732;122;121.0;122;NO
TIKA;2;8740cb54cd906c066e6c016e44356a03925304e2;1;0;1;0.0;6;2;0;54;NO;6;19;726;121;120.0;121;NO
TIKA;2;77e1d38f04b61ff10d18b1db91fd4850baef247d;1;0;1;0.0;51;49;0;227;NO;6;1;714;119;118.0;119;NO
TIKA;2;f198ac1ddb043e42dcd312284ca055f5088d6f22;1;0;1;0.0;65;19;0;378;NO;6;0;708;118;117.0;118;YES
TIKA;2;6f20d1a945e41734e0cc90710855b2ec23d5750b;1;0;1;0.0;26;8;0;370;NO;6;0;702;117;116.0;117;NO
TIKA;2;9028d6f302ebba13eb32a59bea1332e0610fbc9e;1;0;1;0.0;154;0;20;390;NO;6;0;696;116;115.0;116;YES
TIKA;2;f6d4c07ca81fad73b9df476a05d0ec0fd6a5f768;1;0;1;0.0;42;0;12;402;NO;6;0;690;115;114.0;115;NO
TIKA;2;9da6dd5e394f42276ec60512d73606caf78777ba;1;0;1;0.0;52;22;0;380;NO;6;0;684;114;113.0;114;NO
TIKA;2;474c19fc8fbf981f60bd3a7a8ed078b5a14a45f6;2;0;2;0.0;59;46;7;387;NO;6;0;678;113;112.0;113;NO
TIKA;2;a8c7b385aaea4ff55c82bb189df3cc7bf1d499bb;1;0;1;0.0;18;4;0;383;NO;6;0;672;112;111.0;112;NO
TIKA;2;cdd4cf3a7f040a0b1c1de56f2439fae225e60fc9;5;0;5;0.0;223;152;53;436;NO;6;0;666;111;110.0;111;NO
TIKA;2;f81d990e14a2817176abb599d63ca200a3477101;1;0;1;0.0;311;0;209;645;NO;6;0;660;110;109.0;110;YES
TIKA;2;49028e378c94b1c3a8b7aa1fe69cd5bd8840970e;1;0;1;0.0;398;304;0;341;NO;6;17;654;109;108.0;109;YES
TIKA;2;3e05c0722f06cb561e4136d63630fc3a0c57c7f2;2;0;2;0.7642045065086203;275;160;43;127;NO;6;64;648;108;107.0;108;NO
TIKA;2;2907d8fe7dd0ff4782d3ade89e90dffdc553441f;1;0;1;0.0;85;23;0;98;NO;6;159;642;107;106.0;107;NO
TIKA;2;c370c52f87ec9dd63fc4deedecbefed45b5c9004;2;0;2;0.5916727785823275;211;29;0;128;NO;6;81;636;106;105.0;106;YES
TIKA;2;aa271eff08076f4d1ecc69e0726f80f17c604e33;1;0;1;0.0;55;27;0;112;NO;6;31;630;105;104.0;105;YES
TIKA;2;68628ea2173da55de9d767d17fd61558d4b140f7;1;0;1;0.0;8;8;0;48;YES;6;57;624;104;103.0;104;NO
TIKA;2;5cb14dee4de65994c9e0734ff69f0bafe7abdb6d;2;0;2;0.0;44;44;0;108;NO;6;28;618;103;102.0;103;YES
TIKA;2;c26e7b3e91781a62cad161c35c6b88fa3a1a589d;1;0;1;0.0;10;10;0;185;NO;6;0;612;102;101.0;102;YES
TIKA;2;3a743efd63e737bfa0ef621923f6c9a2b7c1e50b;13;0;13;2.35964726283349;195;125;18;170;NO;6;93;606;101;100.0;101;NO
