Project;Release;Commit;NS;ND;NF;Entropy;Size;LA;LD;LT;FIX;NDEV;AGE;NUC;EXP;REXP;SEXP;Actual_Defective
QPID;2;53099f29bc6c4b0a66475ba39c0666ca528bf487;1;1;3;1.1392781631244113;65;5;4;179;NO;20;1;8640;216;215.0;216;NO
QPID;2;2550df4bf1eafbcf25caad2dc235bc9c08d3c750;1;1;1;0.0;2;0;0;179;NO;20;0;8640;99;95.0;99;NO
QPID;2;609e2db9fe6b2968ec62bd1d7aa4f9a2dfd5aa21;1;1;1;0.0;2;0;0;105;NO;20;0;8640;98;94.0;98;NO
QPID;2;5ae1ec0df4a3d088e413d5d1e4c534409b307155;1;1;7;1.2141284461123316;713;0;405;212;NO;20;4;8640;97;93.0;97;NO
QPID;2;ba07a398f938270d10a28a36437ff5b06c5fca53;1;1;2;0.9997226475394072;266;62;0;182;NO;20;0;8640;96;92.0;96;NO
QPID;2;688b117f9955077b6f4c296a42d37d3229f9a7d3;1;1;1;0.0;18;18;0;171;NO;20;16;8640;215;214.0;215;NO
QPID;2;e38196b7d9cfa003a18abb59cdaa5e838c927576;1;1;1;0.0;36;12;0;170;NO;20;1;8640;214;213.0;214;NO
QPID;2;8d96d7c588af524ec10052a966c2ec5707f8bac0;1;1;1;0.0;22;10;0;161;NO;20;1;8640;213;212.0;213;NO
QPID;2;aa2fde9d1f555488db5182631d8f7d80adc8d2cf;2;2;3;0.8112781244591328;12;4;0;622;NO;20;4;8640;95;91.0;95;YES
QPID;2;bc20549a8a418e84f600097023512942dee6cfba;2;2;2;0.5916727785823275;77;7;0;705;NO;20;154;8640;94;90.0;94;NO
QPID;2;8537de78e4c0a36ace6e0b82026042f6c8164e1b;1;1;1;0.0;30;0;4;423;NO;20;0;8620;93;89.0;93;YES
QPID;2;ec2e89d1807d6dad9d678e2043c5f0e8c85d07c8;1;1;3;1.0;7;3;0;169;NO;20;12;8600;92;88.0;92;NO
QPID;2;065cbaf4459fc521c903bf7dc38e823a3c1a36c6;1;1;1;0.0;24;16;0;407;NO;20;20;8540;212;211.0;212;YES
QPID;2;2a87f63035601621fd5fe54627cef64cd5573825;1;1;1;0.0;5;3;0;549;NO;20;18;8480;90;86.0;90;NO
